"dc.AccrualPeriodicity","dc.AccrualPolicy","dc.contributor.author","dc.contributor.other","dc.coverage.spatial","dc.coverage.temporal","dc.coverage.vigencia","dc.date.created","dc.date.issued","dc.date.validfinal","dc.date.validinici","dc.description","dc.description.LegislationChangedBy","dc.description.LegislationChanges","dc.description.abstract","dc.description.sponsorship","dc.description.tableofcontents","dc.description.version","dc.disposal","dc.format","dc.format.extent","dc.identifier.BG","dc.identifier.ab","dc.identifier.citation","dc.identifier.entitat","dc.identifier.isbn","dc.identifier.mandat","dc.identifier.uri","dc.language","dc.publisher","dc.relation","dc.relation.hasformat","dc.relation.haspart","dc.relation.hasversion","dc.relation.isbasedon","dc.relation.isbasisfor","dc.relation.isformatof","dc.relation.ispartof","dc.relation.isreferencedby","dc.relation.isreplacedby","dc.relation.isrequiredby","dc.relation.isversionof","dc.relation.references","dc.relation.replaces","dc.relation.requires","dc.relation.uri","dc.rights","dc.rights.accessrights","dc.rights.notes","dc.rights.rightsHolder","dc.rights.uri","dc.source","dc.subject","dc.subject.category","dc.subject.forma","dc.subject.programme","dc.title","dc.title.alternative","dc.type",
"","","Àrea d'Economia, Empresa i Ocupació","Turisme de Barcelona","Barcelona | Barcelona | Barcelona","","","2014","2014","","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/91222 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/96449","","","","","","","Drets revisats. No s'ha parlat amb els responsables de les il·lustracions i fotografies, per tant s'ha establert CC-BY [només pel text] ; Tots els drets reservats [per les fotografies].","application/pdf","32 p.","18395","","","","","","http://hdl.handle.net/11703/91223","eng","Ajuntament de Barcelona. Àrea d'Economia Empresa i Economia | Barcelona Activa, S.A.","http://hdl.handle.net/11703/91222 | http://hdl.handle.net/11703/96449","","","","","","","","","","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","","Ajuntament de Barcelona | De les fotografies: els seus autors","http://creativecommons.org/licenses/by/4.0/deed.ca","","Turisme | Tourism | Turismo","Turisme | Economia","monografies","","The tourism sector in Barcelona","","text",
"","","Departament d'Estadística","","Barcelona | Barcelona | Barcelona","2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006","","2004","2004","","","Forma part de la col·lecció: Estadístiques temàtiques","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","69 p.","EST_4046","","","","","","http://hdl.handle.net/11703/91416","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Fons estructurals | Structural Funds (European Commission) | Fondos estructurales","Sector públic","monografies","","Zones subvencionables corresponents al Objectiu 2 del Fons Europeu de Desenvolupament Regional (FEDER), període 2000 a 2006","","text",
"","","Solà, Joan | Consorci per a la Normalització Lingüística | Regidoria d'Edicions i Publicacions","Fargas Valero, F. Xavier","Barcelona | Barcelona | Barcelona","","","2000","2000","","","","","","","","","","","application/pdf","169 p.","8226","","","","8476096925","","http://hdl.handle.net/11703/90784","cat","Consorci de la Normalització Lingüística","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Català administratiu | Català | Catalan language--Government jargon | Catalan language | Catalán administrativo | Catalán","Sector públic | Cultura i oci","monografies","","Llibre d'estil de l'Ajuntament de Barcelona","","text",
"","","Direcció d'Immigració","","Barcelona. Districte 10. Sant Martí | Barcelona. District 10. Sant Martí | Barcelona. Distrito 10. Sant Martí","","","2006","2006","","","Editat posteriorment amb el títol: Guia d'acollida de butxaca de Barcelona","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","16 p.","3675","","","","","","http://hdl.handle.net/11703/90533","cat | chi","Ajuntament de Barcelona","http://hdl.handle.net/11703/90531 | http://hdl.handle.net/11703/90532 | http://hdl.handle.net/11703/90534","","","http://hdl.handle.net/11703/96450","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Immigrants | Emigració i immigració | Immigrants | Emigration and immigration | Emigrantes | Emigración e inmigración","Societat i benestar","monografies","","Guia de recursos : Sant Martí [versió en català i xinès]","","text",
"","","Institut d'Estudis Regionals i Metropolitans de Barcelona | Sector de Serveis Personals","Sintes Pascual, Elena | Collado, Ana","Barcelona | Barcelona | Barcelona","","","2002-06","2002-06","","","Estudi realitzat sobre la base dels resultats de l’Enquesta de les condicions de vida i hàbits de la població de la Regió Metropolitana de Barcelona any (2000).","","","","","","","","application/pdf","1 document (9 fitxers)","4378 | 4379 | 4380 | 4381 | 4382 | 4383 | 4384 | 4385 | 4386 | 4387","","","","","","http://hdl.handle.net/11703/90387","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Persones grans | Indicadors socials | Indicadors econòmics | Older people | Social indicators | Economic indicators | Ancianos | Indicadores sociales | Indicadores económicos","Societat i benestar","monografies","","Condicions de vida de la gent gran de Barcelona","","text",
"","","Àrea d'Hisenda i Promoció Econòmica | Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2010","2010","","","","","","","","","","","application/pdf","4 p.","9161","","","societats mercantils","","","http://hdl.handle.net/11703/90945","cat","Ajuntament de Barcelona. Promoció Econòmica | Barcelona Activa, S.A.","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Comunicació en l'empresa | Gestió del coneixement | Gestió de la informació | Business communication | Knowledge management | Information resources management | Comunicación en la empresa | Gestión del conocimiento | Gestión de la información","Economia","monografies","","Càpsula de coneixement: la gestió del coneixement a les organitzacions","","text",
"","","Àmbit d'Investigació i Difusió Maria Corral | Institut Diversitas","Prieto, Rodrigo (Prieto Drouillas) | Àrea de Qualitat de Vida, Igualtat i Esports | Universitat Autònoma de Barcelona. Departament de Psicologia Social | Universitat de Barcelona. Facultat de Pedagogia | Galaz Valderrama, Caterine","Barcelona | Barcelona | Barcelona","","","2012","2012-12","","","","","","","","","","Drets revisats. El document informa explícitament sobre la llicència CC o CopyLeft.","application/pdf","118 p.","","","","","","","http://hdl.handle.net/11703/98104","cat","","","","","","","","","","","","","","","","","","CC-BY-NC-ND","openAccess","","Institut Diversitas | Àmbit d'Investigació i Difusió Maria Corral","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","","Multiculturalisme | Integració social | Pluralisme cultural | Educació intercultural | Multiculturalism | Social integration | Cultural pluralism | Multicultural education | Multiculturalismo | Integración social | Pluralismo cultural | Educación intercultural","Societat i benestar","monografies","","Manual antirumors : material pedagògic per a combatre rumors i esterotips fonamentals en la diversitat cultural","","text",
"","","Associació de Professionals de la Gestió Cultural de Catalunya | Barcelona Activa, S.A. | Generalitat de Catalunya","","Barcelona | Barcelona | Barcelona","","","2012","2012","","","","","","","","","","","application/pdf","14 p.","9907","","","societats mercantils","","","http://hdl.handle.net/11703/91033","eng","ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Gestió cultural | Ocupació | Arts management | Employment (Economic theory) | Gestión cultural | Empleo","Cultura i oci | Economia","monografies","","Sector report: cultural management","","text",
"","","Turisme de Barcelona | Àrea d'Hisenda i Promoció Econòmica","","Barcelona | Barcelona | Barcelona","2010 | 2011 | 2012 | 2013 | 2014 | 2015","","2010-02","2010","","","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/85031 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/86343","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","25 p.","","","","consorcis","","Mandat 2007-2011","http://hdl.handle.net/11703/85030","cat","","http://hdl.handle.net/11703/85031 | http://hdl.handle.net/11703/86343","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Turisme | Tourism | Turismo","Turisme","monografies","Pla Estratègic de Turisme de la Ciutat de Barcelona 2010-2015","Pla Estratègic de Turisme de la ciutat de Barcelona: Diagnosi i proposta estratègica : resum executiu","","text",
"","","Servei d'Extinció d'Incendis i Salvament","","Barcelona | Barcelona | Barcelona","","","2015","2015","","","","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","2 p.","21128 | 18019","","","","","","http://hdl.handle.net/11703/96434","cat | urd","","http://hdl.handle.net/11703/96433 | http://hdl.handle.net/11703/96432 | http://hdl.handle.net/11703/96435 | http://hdl.handle.net/11703/96436","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Prevenció | Bombers | Prevention | Fire fighters | Prevención | Bomberos","Seguretat","monografies","","En cas d'incendi tanca la porta al foc [versió en català i urdú]","","text",
"","","Ajuntament de Barcelona","","","","","1985","1985","","","","","","","Digitalitzat per Artyplan per encàrrec del SEDAC","","","","application/pdf","169 p.","","","","","","","http://hdl.handle.net/11703/110872","cat","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/licenses/by/4.0/deed.en | http://creativecommons.org/licenses/by/4.0/deed.es","Barcelona: Ajuntament de Barcelona","Política cultural | Museus | Cultural policy | Museums | Política cultural | Museos","Sector públic","monografies | documents digitalitzats","","Pla de Museus  [1985]","","text",
"","","Gerència de Recursos Humans i Organització | Departament de Prevenció de Riscos Laborals","","Barcelona | Barcelona | Barcelona","","","2018","2019","","","","","","","","","","","application/pdf","19 p.","","","","","","","http://hdl.handle.net/11703/113495","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","CC-BY-NC-ND","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","","Seguretat en el treball | Seguridad industrial | Industrial safety | Esquena | Espalda | Back","Seguretat | Societat i benestar","monografies","","Seguretat amb l'esquena : informació en prevenció de riscos laborals","","text",
"","","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona","","Barcelona | Turó de la Peira (Barcelona : Barri) | Barcelona | Turó de la Peira (Barcelona : Neighborhood) | Barcelona | Turó de la Peira (Barcelona : Barrio)","","","2016","2016","","","","","","","","","","","application/pdf","44 p.","","","","","","","http://hdl.handle.net/11703/97354","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona | Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Salut pública | Public health | Salud pública","Salut","monografies","Programa Salut als Barris (Barcelona)","Salut als barris : diagnòstic : Turó de la Peira","","text",
"","","Àrea de Descentralització i de Participació ciutadana","","","","","1986","1986","","","Forma part de la col·lecció: Papers; 8","","","","Digitalitzat per l’empresa Artyplan per encàrrec del SEDAC","8.1. Presentación; Índice general; Metodología; Conclusiones; Propuestas. | 8.2. Análisis y evaluación de algunas experiencias asociativas. | 8.3 El movimiento asociativo en Francia e Inglaterra. | 8.4 Anexos","","","application/pdf","352 p.","","","","","","","http://hdl.handle.net/11703/99975","cas","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Descentralització administrativa | Associacions, institucions, etc. | Associacionisme | Divisions administratives i polítiques | Participació ciutadana | Decentralization in government | Associations, institutions, etc. | Associationism | Administrative and political divisions | Citizen participation | Descentralización administrativa | Asociaciones, instituciones, etc. | Asociacionismo | Divisiones administrativas y políticas | Participación ciudadana","Sector públic","monografies | documents digitalitzats","","Realidad actual y nuevas tendencias en la vida asociativa","Descentralització i participació ciutadana","text",
"","","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona","","Barcelona | Barcelona | Barcelona","","","2015","2015","","","Revisió del document: Descripció del procediment utilitzat per l'Institut de Seguretat Alimentària i de Salubritat, de novembre de 2003","","","","","","","","application/pdf","31 p.","19407","","","","","","http://hdl.handle.net/11703/90324","cat","Agència de Salut Pública","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Salut pública | Seguretat alimentària | Public health | Food security | Salud pública | Seguridad alimentaria","Salut","monografies","","La recollida de mostres alimentàries: descripció del procediment","","text",
"","","Regidoria de Dona i Drets Civils","","Barcelona | Barcelona | Barcelona","","","2008","2008","","","Forma part de la col·lecció: Guies pràctiques per al civisme; 4","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","12 p.","18035","","","","","","http://hdl.handle.net/11703/90012","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Animals de companyia | Pets | Animales de compañía","Societat i benestar","monografies","","Animals de companyia","","text",
"","","Consorci Institut d'Estudis Regionals i Metropolitans de Barcelona | Àrea d'Economia, Empresa i Ocupació","Boix, Rafael | Galletto, Vittorio | Trullén Thomàs, Joan","Barcelona | Barcelona | Barcelona","","","2013","2013","","","","","","","","","","","application/pdf","65 p.","11428","","","","","","http://hdl.handle.net/11703/91066","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Empreses | Indústries d'alta tecnologia | Innovacions tecnològiques | Business enterprises | High technology industries | Technological innovations | Empresas | Industria de alta tecnología | Innovaciones tecnológicas","Economia","monografies","","BCN metròpoli creativa: informe i mapes urbans de coneixement i innovació de Barcelona","Barcelona metròpoli creativa","text",
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","No","1943-06-15","1943","","","Aprovat pel Plenari del Consell Municipal de 15-06-1943 | Podeu consultar una altre versió a: http://hdl.handle.net/11703/106682 (ed. 1943 en castellà)","","","","Digitalitzat pel SEDAC","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","21 p.","7994","","","","","","http://hdl.handle.net/11703/91759","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/106682","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Salut pública | Serveis sanitaris | Organització i organigrames | Public health | Health services | Organization and flowcharts | Salud pública | Servicios de salud | Organización y organigramas","Salut","reglaments | documents digitalitzats | monografies","","Reglamento de los Servicios de Sanidad Municipal [1943] [ed. 1943]","","text",
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2011","2011","","","A la portada: Barcelona Activa Iniciativa emprenedora | Forma part de la col·lecció: Informes en profunditat; 19","","","","","","","","application/pdf","13 p.","8326","","","societats mercantils","","","http://hdl.handle.net/11703/90815","cat","Barcelona Activa, S.A.","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Estrangers | Treballadors estrangers | Emprenedoria | Foreigner | Alien labor | Entrepreneurship | Extranjeros | Trabajadores extranjeros | Emprendedores","Economia | Ocupació","monografies","","Autorització de treball i residència per a estrangers","","text",
"","","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona","","Teixonera (Barcelona : Barri) | Teixonera (Barcelona : Neighborhood) | Teixonera (Barcelona : Barrio)","","","2018","2018","","","","","","","","","","","application/pdf","37 p.","","","","","","","http://hdl.handle.net/11703/115262","cat","Agència de Salut Pública de Barcelona","","","","","","","","","","","","","","","","","CC-BY-NC-ND","openAccess","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","","Indicadors de salut | Indicadores de salud | Health status indicators","Salut","monografies","Programa Salut als Barris (Barcelona)","Diagnòstic de salut: la Teixonera 2018","","text",
"","","Ajuntament de Barcelona","Antonio Carceller Fernández | Alberto de Rovira Mola | Josep Maria de Porcioles i Colomer","Barcelona | Barcelona | Barcelona","","","1965","1965","","","Podeu consultar la versió oficial de la Ley especial del municipio de Barcelona [1960] publicada al Boletín Oficial del Estado a: http://hdl.handle.net/11703/106462 | Podeu consultar la versió oficial del Reglamento de Hacienda Municipal de Barcelona [1961] publicada al Boletín Oficial del Estado a: http://hdl.handle.net/11703/106462 | Podeu consultar la versió oficial del Reglamento de organización y administración municipal de Barcelona [1964] publicada al Boletín Oficial del Estado a: http://hdl.handle.net/11703/106465 | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/90399 (ed. 1974 en castellà)","","","","","Recopilació, notes i índex d'Antonio Carceller Fernández i Alberto de Rovira Mola | Pròleg del Excel·lentíssim senyor alcalde de Barcelona, Josep Maria de Porcioles i Colomer","","","application/pdf","412 p.","","","","","","","http://hdl.handle.net/11703/106458","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/106462 | http://hdl.handle.net/11703/106462 | http://hdl.handle.net/11703/106465 | http://hdl.handle.net/11703/90399","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Organització i organigrames | Política i govern | Dret municipal | Organization and flowcharts | Politics and government | Municipal law | Organización y organigramas | Política y gobierno | Derecho municipal","Legislació i justícia | Sector públic","monografies","","Código de Barcelona","Ley especial del municipio de Barcelona [1960] | Reglamento de organización y administración municipal de Barcelona [1964] | Ley sobre modificación de determinadas disposiciones de la de régimen local [1957]","text",
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2011","2011","","","A la portada: Barcelona Activa Iniciativa emprenedora | Forma part de la col·lecció: Informes en profunditat; 05","","","","","","","","application/pdf","10 p.","8309","","","societats mercantils","","","http://hdl.handle.net/11703/90806","cat","Barcelona Activa, S.A.","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Negociació | Bancs | Emprenedoria | Negotiation | Banks | Entrepreneurship | Negociación | Bancos | Emprendedores","Economia","monografies","","Negociació bancària","","text",
"","","Vilanou, Conrad | Districte 3. Sants-Montjuïc | Arxiu Municipal del Districte 3. Sants-Montjuïc (Barcelona)","Oller, Rosa","Barcelona. Districte 3. Sants-Montjuïc | Barcelona. District 3. Sants-Montjuïc | Barcelona. Distrito 3. Sants-Montjuïc","","","1994","1994","","","Forma part de la col·lecció: Conèixer el Districte de Sants-Montjuïc; 4","","","","","","","","application/pdf","17 p.","9725","","","districtes","","","http://hdl.handle.net/11703/91027","cat","Arxiu Municipal del Districte Sants-Montjuïc","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Esports | Sports | Deportes","Esport","monografies","","L'esport","","text",
"","","Regidoria de Benestar Social","","Barcelona | Barcelona | Barcelona","","","2005","2005","","","","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","40 p.","MMAC1","","","","","","http://hdl.handle.net/11703/91460","cat","Ajuntament. Regidoria de Benestar Social","http://hdl.handle.net/11703/91461","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Assistència social | Serveis socials | Desenvolupament comunitari | Public welfare | Human services | Community development | Bienestar social | Servicios sociales | Desarrollo comunitario","Societat i benestar","monografies","Marc Municipal per a l'Acció Comunitària (Barcelona)","Marc Municipal per a l'Acció Comunitària","","text",
"","","Parcs i Jardins de Barcelona, Institut Municipal | Àrea de Medi Ambient","","Barcelona. Districte 7. Horta-Guinardó | Laberint, Parc (Barcelona) | Barcelona. District 7. Horta-Guinardó | Laberint, Park (Barcelona) | Barcelona. Distrito 7. Horta-Guinardó | Laberint, Parque (Barcelona)","","","2008","2008","","","","","","","","","","Drets revisats. No s'ha parlat amb els responsables de les il·lustracions i fotografies, per tant s'ha establert CC-BY [només pel text] ; Tots els drets reservats [per les fotografies].","application/pdf","13 p.","BAB_11039","","","entitats públiques empresarials","","","http://hdl.handle.net/11703/89968","cat","Ajuntament de Barcelona | Parcs i Jardins de Barcelona, Institut Municipal","","","","","","","","http://hdl.handle.net/11703/89966 | http://hdl.handle.net/11703/89967 | http://hdl.handle.net/11703/89969","","","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","","De l'edició: Ajuntament de Barcelona i Institut Municipal de Parcs i Jardins | De les fotografies i il·lustracions: els seus autors","http://creativecommons.org/licenses/by/4.0/deed.ca","","Parcs | Mitologia | Educació ambiental | Material didàctic | Parks | Mythology | Environmental education | Teaching materials | Parques | Mitología | Educación ambiental | Material didáctico","Medi ambient | Educació","monografies","","Mites i ciència al parc del Laberint: Quadern dels alumnes","","text",
"","","Galobart Consulting | Ajuntament de Barcelona","","Barcelona. Districte 5. Sarrià-Sant Gervasi | Sarrià (Barcelona : Barri) | Barcelona. District 5. Sarrià-Sant Gervasi | Sarrià (Barcelona : Neighborhood) | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Sarrià (Barcelona : Barrio)","","","2009","2009-11","","","","","","","","","","","application/pdf","48 p.","17918","","","","","","http://hdl.handle.net/11703/89985","cat","Galobart Consulting","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Comerç | Comerç al detall | Rutes comercials | Commerce | Retail trade | Trade routes | Comercio | Comercio al detalle | Rutas comerciales","Comerç","monografies","","Sarrià Eix Comercial: Estudi del perfil dels visitants i grau de satisfacció dels comerços","","text",
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2011","2011","","","A la portada: Barcelona Activa Iniciativa emprenedora | Forma part de la col·lecció: Informes en profunditat; 67","","","","","","","","application/pdf","8 p.","8369","","","societats mercantils","","","http://hdl.handle.net/11703/90854","cat","Barcelona Activa, S.A.","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Empreses | Empreses petites i mitjanes | Globalització (Economia) | Emprenedoria | Business enterprises | Small business | Globalization (Economics) | Entrepreneurship | Empresas | Pequeñas y medianas empresas | Globalización (Economía) | Emprendedores","Economia","monografies","","Formes d'internacionalitzar l'empresa","","text",
"","","Regidoria de Drets Civils","Coll-Planas, Gerard","Barcelona | Barcelona | Barcelona","","","2011","2011","","","Elaborat en el marc del projecte AHEAD (Against Homophobia European Administration Devices), liderat per l'Ajuntament de Barcelona. | Coordinació científica: IGOP Universidad Autònoma de Barcelona; Coordinació internacional: CEPS Projectes Socials; Socis del projecte: Comune di Torino, Stadt Köln, Università degli Studi di Torino, Magyar Tudományos Akadémia, Centre for Youth Work Studies","","","","","","","Drets revisats. El document informa explícitament sobre la llicència CC o CopyLeft.","application/pdf","88 p.","7565","","","","","","http://hdl.handle.net/11703/90773","cat","Ajuntament de Barcelona. Direcció de Drets Civils","http://hdl.handle.net/11703/90774 | http://hdl.handle.net/11703/90775","","","","http://hdl.handle.net/11703/91470","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Homosexualitat | Homosexuals | Homosexuality | Gays | Homosexualidad | Homosexuales","Societat i benestar","monografies","","Contra l'homofòbia: polítiques locals d'igualtat per raó d'orientació sexual i d'identitat de gènere: Llibre blanc europeu","","text",
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","No","1963-07-16","1963","","","Aprovat pel Plenari del Consell Municipal de  16-07-1963","","","","Digitalitzat pel SEDAC","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","20 p.","7870","","","","","","http://hdl.handle.net/11703/91758","cas","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Mercats | Mercat Central de la Flor de la Unitat Alimentària de Barcelona | Organització i organigrames | Markets | Mercat Central de la Flor de la Unitat Alimentària de Barcelona | Organization and flowcharts | Mercados | Mercat Central de la Flor de la Unitat Alimentària de Barcelona | Organización y organigramas","Comerç","reglaments | documents digitalitzats | monografies","","Reglamento del Mercado Municipal de la Flor [1963]","","text",
"","","Institut de Cultura de Barcelona | Ciudades y Gobiernos Locales Unidos","","Barcelona | Barcelona | Barcelona","","","2004","2004","","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/90414 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/111352 | Podeu consultar la versió en francès a: http://hdl.handle.net/11703/111513 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/111517 | Podeu consultar la versió en àrab a: http://hdl.handle.net/11703/111519 | Podeu consultar la versió en búlgar a: http://hdl.handle.net/11703/111521 | Podeu consultar la versió en alemany a: http://hdl.handle.net/11703/111566 | Podeu consultar la versió en gallec a: http://hdl.handle.net/11703/111567 | Podeu consultar la versió en italià a: http://hdl.handle.net/11703/111568 | Podeu consultar la versió en persa a: http://hdl.handle.net/11703/111570 | Podeu consultar la versió en portuguès a: http://hdl.handle.net/11703/111571 | Podeu consultar la versió en serbi a: http://hdl.handle.net/11703/111572 | Podeu consultar la versió en suec a: http://hdl.handle.net/11703/111574 | Podeu consultar la versió en turc a: http://hdl.handle.net/11703/111576 | Podeu consultar la versió en ucraïnès a: http://hdl.handle.net/11703/111577","","","","","","","","application/pdf","21 p.","6107","","","entitats públiques empresarials","","","http://hdl.handle.net/11703/111569","jpn","Ajuntament de Barcelona","http://hdl.handle.net/11703/90414 | http://hdl.handle.net/11703/111352 | http://hdl.handle.net/11703/111513 | http://hdl.handle.net/11703/111517 | http://hdl.handle.net/11703/111519 | http://hdl.handle.net/11703/111521 | http://hdl.handle.net/11703/111566 | http://hdl.handle.net/11703/111567 | http://hdl.handle.net/11703/111568 | http://hdl.handle.net/11703/111570 | http://hdl.handle.net/11703/111571 | http://hdl.handle.net/11703/111572 | http://hdl.handle.net/11703/111574 | http://hdl.handle.net/11703/111576 | http://hdl.handle.net/11703/111577","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Globalització | Multiculturalisme | Política cultural | Globalization | Multiculturalism | Cultural policy | Globalización | Multiculturalismo | Política cultural","Cultura i oci","monografies","Agenda 21 de la cultura","Agenda 21 de la cultura [versió en japonès]","","text",
